time_milisecc,gx,gy,gz
1421632169006.00,2.8287654,0.25793514,0.4338007
1421632169007.00,3.7858987,1.3504317,0.5403857
1421632169007.00,3.4501565,1.8609738,1.0050962
1421632169018.00,-0.9709896,1.7991544,0.18545748
1421632169051.00,-3.2764232,1.9856782,-1.0722451
1421632169058.00,-0.17586558,3.1399937,-0.75675374
1421632169084.00,-0.2664626,2.7381682,-0.25260696
1421632169098.00,-1.9057403,2.3491328,-0.34426975
1421632169118.00,-0.16627286,1.5881162,1.7693105
1421632169142.00,0.8143092,-0.075675584,1.5124409
1421632169208.00,0.7993872,-0.21423586,2.3331454
1421632169208.00,1.2022785,-3.3989959,2.412018
1421632169209.00,3.911669,-5.7097588,1.6819111
1421632169218.00,4.2143703,-0.18332642,0.70985574
1421632169239.00,3.1122816,2.1828606,-0.031975776
1421632169259.00,3.194352,1.4804654,-0.22063118
1421632169278.00,2.760551,0.9677917,0.21849905
1421632169298.00,1.3866707,0.049028795,0.105518706
1421632169319.00,0.057555705,-0.23981632,0.2259599
1421632169341.00,-0.30163574,-0.028778385,0.4732368
1421632169358.00,-1.5540093,-0.033041574,0.3133598
1421632169378.00,-1.6318165,-1.025348,-0.12577072
1421632169398.00,-1.6563312,-1.2523742,-0.38477245
1421632169418.00,-2.1210418,-1.609434,-0.635247
1421632169438.00,-2.7701442,-1.991008,-0.84415364
1421632169458.00,-3.0302122,-1.4847294,-1.3738809
1421632169480.00,-3.0088947,-1.0978255,-2.3832407
1421632169533.00,-2.9353511,-0.5148058,-1.5625362
1421632169534.00,-2.5836208,1.3738804,-0.075675584
1421632169545.00,-1.4580832,4.1514854,-0.5041473
1421632169558.00,-0.9603311,0.43060333,-2.4312043
1421632169581.00,-1.8194062,-2.8042517,-1.9814153
1421632169598.00,-1.2758228,-2.1455564,-0.93155324
1421632169620.00,-0.71198815,-2.7264447,-0.6256546
1421632169641.00,-0.07674138,-2.7040617,-0.24621163
1421632169659.00,0.6832095,-2.0848029,0.17373317
1421632169680.00,1.7778374,-0.1406924,0.39756176
1421632169699.00,3.1570475,1.8279325,0.609666
1421632169718.00,3.5492802,2.5356567,1.1958832
1421632169739.00,3.2444472,2.420545,1.1244713
1421632169759.00,-2.2159023,1.8780273,-0.99657005
1421632169778.00,-2.2137709,4.8997126,-1.1329987
1421632169859.00,0.22915728,3.5514119,-0.57449365
1421632169860.00,-1.7842332,1.6264865,-0.021317273
1421632169860.00,-0.5904814,1.9878098,1.8098129
1421632169861.00,0.28564718,-0.18119483,0.95393527
1421632169878.00,0.4188785,1.1841592,2.4184132
1421632169898.00,0.77380675,-0.7183832,3.0771086
1421632169919.00,3.685709,-5.877097,2.3416722
1421632169941.00,4.9348855,-3.0515287,1.2331879
1421632169959.00,2.6976657,1.7554545,-0.031975776
1421632169984.00,3.0941622,1.6936355,-0.55957144
1421632170001.00,2.8351607,1.773574,0.09272861
