time_millisec,ax,ay,az
1421714478863.00,-1.0861413,3.401826,9.386082
1421714478882.00,-0.920885,3.3174014,9.5175085
1421714478903.00,-1.0398875,3.1567855,9.28115
1421714478924.00,-0.9744736,3.3525782,9.369616
1421714478943.00,-1.1913725,3.2687526,9.443263
1421714478963.00,-1.332978,3.3061748,9.419612
1421714478983.00,-1.441203,3.4534686,9.311986
1421714479002.00,-1.4220428,3.4338593,9.296268
1421714479022.00,-1.3117223,3.4251773,9.28085
1421714479042.00,-1.3898598,3.5323544,9.312734
1421714479063.00,-1.4476396,3.382965,9.282646
1421714479084.00,-1.3331277,3.3509316,9.36752
1421714479103.00,-1.4965879,3.393144,9.4419155
1421714479126.00,-1.3862672,3.3659005,9.525742
1421714479145.00,-1.1331437,2.9623399,8.20384
1421714479165.00,-1.113235,3.3340168,8.745863
1421714479185.00,-2.1112096,4.0670424,10.513388
1421714479202.00,-1.5618521,3.3566198,9.937236
1421714479234.00,-0.9086105,2.7577152,9.466913
1421714479242.00,-0.6990463,3.063679,8.826245
1421714479289.00,-0.87118834,3.1222074,8.877589
1421714479290.00,-0.95725936,2.987188,9.51167
1421714479307.00,-1.1515553,3.1434631,9.940679
1421714479335.00,-1.1304492,3.1494508,9.70911
1421714479342.00,-0.9225316,3.0231135,9.439969
1421714479365.00,-0.8580158,3.1154714,9.482331
1421714479384.00,-1.0999128,3.05365,9.690548
1421714479403.00,-1.3721966,3.223846,9.597591
1421714479423.00,-1.1572435,3.2700999,9.406139
1421714479442.00,-1.111289,3.2641122,9.307495
1421714479466.00,-1.1121871,3.3422499,9.3050995
1421714479485.00,-1.291664,3.3566198,9.334589
1421714479503.00,-1.2289444,3.369493,9.34851
1421714479523.00,-1.096919,3.2415092,9.34327
1421714479543.00,-1.0689272,3.2201037,9.332343
1421714479562.00,-1.119971,3.195405,9.471554
1421714479587.00,-1.1909235,3.257077,9.493408
1421714479604.00,-1.1165282,3.181035,9.580228
1421714479622.00,-1.0722203,3.3470397,9.397758
1421714479674.00,-0.9662407,3.2117212,9.230854
1421714479676.00,-1.027613,3.2401621,9.337732
1421714479683.00,-1.1523038,3.2274384,9.177864
1421714479707.00,-1.2503499,3.304079,9.397758
1421714479743.00,-1.3274395,3.2973433,9.376351
1421714479745.00,-1.0627899,3.2626154,9.327553
1421714479773.00,-1.1859838,3.3739839,9.4684105
1421714479782.00,-1.2252022,3.3322206,9.472752
1421714479806.00,-1.1190729,3.354225,9.363628
1421714479842.00,-1.1280541,3.2500415,9.451645
1421714479844.00,-0.9991722,3.242108,9.2802515
1421714479872.00,-1.1162288,3.44793,9.318722
1421714479883.00,-1.1615845,3.404071,9.43518
1421714479908.00,-1.1114388,3.2061827,9.390123
1421714479941.00,-1.1529025,3.388204,9.39626
1421714479944.00,-1.2666659,3.4423914,9.3453665
1421714479962.00,-1.1064991,3.40467,9.433383
1421714479982.00,-1.1075468,3.2930021,9.300759
1421714480002.00,-1.1232642,3.2428565,9.30016
1421714480022.00,-1.0623409,3.2974927,9.344468
1421714480044.00,-1.1180251,3.2986903,9.457034
1421714480062.00,-1.0931767,3.3876054,9.549092
1421714480082.00,-0.99543,3.4757721,9.3381815
1421714480102.00,-1.0141411,3.422932,9.441017
1421714480122.00,-0.94139236,3.2256422,9.319171
1421714480144.00,-1.2166699,3.19795,9.238338
1421714480162.00,-1.2615765,3.3078213,9.289533
1421714480182.00,-1.4019846,3.3191977,9.307345
1421714480202.00,-1.4903009,3.5329533,9.421857
1421714480225.00,-1.4429992,3.5543587,9.397758
1421714480246.00,-1.3786331,3.5227745,9.215286
1421714480264.00,-1.2454102,3.5320551,8.308323
1421714480282.00,-1.7884809,3.8396654,9.464968
1421714480317.00,-1.6844472,3.6095939,9.81479
1421714480334.00,-1.3454022,3.524421,9.791439
1421714480343.00,-1.3295352,3.4925373,9.359587
1421714480384.00,-1.2045451,3.5817518,9.135802
1421714480385.00,-1.2786411,3.4476306,9.366772
1421714480407.00,-1.3139676,3.5353482,9.415121
1421714480427.00,-1.3371693,3.41904,9.536369
1421714480442.00,-1.2186159,3.4289196,9.474547
1421714480462.00,-1.4293776,3.174299,9.559272
1421714480483.00,-1.4471905,3.4073644,9.486373
1421714480502.00,-1.2748989,3.4669404,9.338779
1421714480522.00,-1.2317885,3.396886,9.178613
1421714480542.00,-1.2139755,3.382516,8.908276
1421714480567.00,-1.2867242,3.4976265,9.030122
1421714480583.00,-1.2840298,3.4473312,9.184301
1421714480607.00,-1.332529,3.4545164,9.270073
1421714480622.00,-1.1629317,3.4883459,9.407936
1421714480642.00,-1.206042,3.3950899,9.330098
1421714480662.00,-1.2157718,3.446433,9.27142
1421714480682.00,-1.1934682,3.3557217,9.38219
1421714480705.00,-1.3033397,3.554209,9.353001
1421714480723.00,-1.3768369,3.5211277,9.3823395
1421714480742.00,-1.3783337,3.5634897,9.315878
1421714480762.00,-1.269061,3.6333942,9.301059
1421714480783.00,-1.4208454,3.6182756,9.177266
1421714480804.00,-1.3635145,3.531157,9.197923
1421714480825.00,-1.311872,3.5844462,9.389974
1421714480845.00,-1.4057268,3.3702416,9.365574
1421714480863.00,-1.3846207,3.4200878,9.323811
1421714480882.00,-1.2078383,3.4301171,9.42066
1421714480902.00,-1.3545332,3.4307158,9.375903
1421714480923.00,-1.4660513,3.4407449,9.236543
1421714480942.00,-1.2124786,3.6175272,9.16589
1421714480962.00,-1.2626244,3.482059,9.05497
1421714480982.00,-1.22146,3.4612522,9.222622
1421714481002.00,-1.1529025,3.253185,9.295071
1421714481024.00,-1.1117381,3.3970358,9.471704
1421714481043.00,-1.1496093,3.2587235,9.454041
1421714481062.00,-1.0750644,3.4069152,9.625584
1421714481082.00,-0.98824495,3.2870147,9.532777
1421714481102.00,-1.0582993,3.3560212,9.564211
1421714481123.00,-1.0455757,3.3105156,9.544751
1421714481143.00,-0.8972342,3.1983988,9.292826
1421714481163.00,-1.0096505,3.369493,9.196875
1421714481183.00,-1.0165361,3.3480875,9.358688
1421714481205.00,-0.8634045,3.3452435,9.400152
1421714481225.00,-0.9153465,3.2025902,9.2609415
1421714481244.00,-1.1467652,3.353626,9.423504
1421714481266.00,-1.1424243,3.4256263,9.533375
1421714481284.00,-1.367107,3.416645,9.582922
1421714481304.00,-1.3370197,3.3929942,9.462273
1421714481324.00,-1.117127,3.2003448,9.401649
1421714481344.00,-1.2566369,3.2415092,9.338481
1421714481365.00,-1.1362871,3.4265244,9.45853
1421714481383.00,-1.2662169,3.4419425,9.502689
1421714481404.00,-1.0707234,3.254233,9.433982
1421714481423.00,-1.1624826,3.3718882,9.314231
1421714481446.00,-1.1762539,3.4596057,9.23295
1421714481462.00,-1.196911,3.6193235,9.55029
1421714481482.00,-1.1633807,3.7070413,9.535022
1421714481502.00,-1.3977933,3.8712497,9.564211
1421714481522.00,-1.2338841,3.6598892,9.474997
1421714481542.00,-1.0255175,3.4563127,9.302705
1421714481563.00,-1.0280621,3.5033147,9.124576
1421714481583.00,-0.891546,3.5510654,9.185648
1421714481603.00,-0.9136999,3.47682,9.135203
1421714481623.00,-0.9440868,3.4124537,9.215586
1421714481644.00,-0.91549623,3.4254768,9.398805
1421714481665.00,-1.1178753,3.5049615,9.228609
1421714481684.00,-1.0386901,3.674858,9.232651
1421714481705.00,-1.0416838,3.4858012,9.362431
1421714481727.00,-1.0514135,3.580105,9.573492
1421714481744.00,-0.8719368,3.357518,9.266331
1421714481767.00,-0.9313632,3.3449442,9.094638
1421714481784.00,-0.6978488,3.2501912,9.048234
1421714481807.00,-0.7557784,3.025209,9.041798
1421714481824.00,-1.0011182,3.2105236,9.320368
1421714481844.00,-0.9889934,3.4000297,9.66076
1421714481866.00,-1.0422826,3.6142342,9.746981
1421714481884.00,-1.1484119,3.566184,9.607471
1421714481903.00,-1.1264076,3.6742594,9.560918
1421714481925.00,-0.9648935,3.5170863,9.484427
1421714481944.00,-0.9241782,3.5208285,9.299861
1421714481964.00,-0.9207353,3.5329533,9.184601
1421714481985.00,-0.77972853,3.4278717,8.996292
1421714482005.00,-0.7753876,3.407514,8.878786
1421714482022.00,-0.8822653,3.6396813,9.186247
1421714482043.00,-0.8515791,3.518583,9.465716
1421714482063.00,-0.7084767,3.4091606,9.597741
1421714482083.00,-0.90277267,3.4476306,9.473649
1421714482105.00,-0.7827223,3.3335679,9.484577
1421714482122.00,-0.8012837,3.4567616,9.413774
1421714482143.00,-0.76101744,3.3394058,9.570797
1421714482163.00,-0.71820647,3.5899847,9.399553
1421714482183.00,-0.7300319,3.4087114,9.395212
1421714482204.00,-0.8095166,3.4374518,9.330398
1421714482253.00,-0.80472654,3.459456,9.245973
1421714482254.00,-0.8479866,3.5762131,9.299262
1421714482263.00,-0.7881111,3.3822167,9.320967
1421714482293.00,-0.9707314,3.470533,9.235345
1421714482328.00,-0.9662407,3.4564621,9.334439
1421714482335.00,-0.7671547,3.4956808,9.310938
1421714482342.00,-0.7553293,3.5366955,9.383238
1421714482385.00,-0.60519147,3.4236803,9.470955
1421714482386.00,-0.84199905,3.4473312,9.446856
1421714482426.00,-0.7705975,3.2663577,9.3839855
1421714482426.00,-0.855471,3.4003289,9.458382
1421714482445.00,-0.9400452,3.5289116,9.34836
1421714482479.00,-0.90726334,3.4929862,9.214539
1421714482486.00,-0.81266004,3.5211277,9.322464
1421714482523.00,-0.8428972,3.4925373,9.293574
1421714482525.00,-0.868494,3.3874557,9.562116
1421714482562.00,-0.93735075,3.3582664,9.566756
1421714482571.00,-0.78481793,3.4747243,9.507179
1421714482593.00,-0.87118834,3.4124537,9.507479
1421714482615.00,-0.95216995,3.5545084,9.379795
1421714482624.00,-0.9891431,3.4658926,9.544453
1421714482654.00,-1.0150392,3.6160305,9.36288
1421714482665.00,-1.1247611,3.7410204,9.439221
1421714482689.00,-1.2494518,3.6718643,9.174721
1421714482704.00,-0.99049026,3.6030076,9.594298
1421714482724.00,-0.7553293,3.2807276,10.125843
1421714482759.00,-0.40909928,2.6993368,9.486223
1421714482764.00,-0.69246,3.437751,9.291628
1421714482791.00,-0.8649014,3.533552,9.048683
1421714482802.00,-0.7339238,3.5414855,9.079968
1421714482841.00,-0.2588118,2.9951217,9.360934
1421714482842.00,-0.20776795,2.7301726,9.746532
1421714482876.00,-0.26764342,2.6560767,9.494307
1421714482883.00,-0.38185593,3.0984068,9.351204
1421714482909.00,-0.37646714,2.7731333,10.858719
1421714482923.00,-0.8532257,3.6577935,9.935888
1421714482942.00,-0.83795744,3.526816,9.876312
1421714482976.00,-0.73437285,3.3409026,9.590856
1421714482984.00,-0.1432521,3.3605118,8.86726
1421714483008.00,-0.83511335,3.7396734,8.808133
1421714483022.00,-1.0467732,3.5477724,9.474697
1421714483043.00,-1.1331437,3.2876134,10.105336
1421714483062.00,-1.1002121,3.455564,10.259216
1421714483082.00,-1.2419673,3.4151483,10.005643
1421714483106.00,-1.2510983,3.7175193,9.649085
1421714483131.00,-1.0100995,3.42862,9.913734
1421714483143.00,-0.53588563,3.023263,10.369686
1421714483163.00,-0.42556503,3.0466146,10.326277
1421714483182.00,-0.8014334,3.354225,10.144255
1421714483202.00,-1.1779006,3.792663,10.007889
1421714483225.00,-0.542921,3.5398388,10.500065
